Frame,Visibility,X,Y,X_fused,Y_fused,is_interpolated,track_status
522,0,0,0,,,False,missing
523,0,0,0,,,False,missing
524,0,0,0,,,False,missing
525,0,0,0,,,False,missing
526,0,0,0,,,False,missing
527,0,0,0,,,False,missing
528,0,0,0,,,False,missing
529,0,0,0,,,False,missing
530,0,0,0,,,False,missing
531,0,0,0,,,False,missing
532,0,0,0,,,False,missing
533,0,0,0,,,False,missing
534,0,0,0,,,False,missing
535,0,0,0,,,False,missing
536,0,0,0,,,False,missing
537,0,0,0,,,False,missing
538,0,0,0,,,False,missing
539,0,0,0,,,False,missing
540,0,0,0,,,False,missing
541,0,0,0,,,False,missing
542,0,0,0,,,False,missing
543,0,0,0,,,False,missing
544,0,0,0,,,False,missing
545,0,0,0,,,False,missing
546,0,0,0,,,False,missing
547,0,0,0,,,False,missing
548,0,0,0,,,False,missing
549,0,0,0,,,False,missing
550,0,0,0,,,False,missing
551,0,0,0,,,False,missing
552,0,0,0,,,False,missing
553,0,0,0,,,False,missing
554,0,0,0,,,False,missing
555,0,0,0,,,False,missing
556,1,634,471,634.0,471.0,False,detected
557,1,634,471,634.0,471.0,False,detected
558,1,635,471,635.0,471.0,False,detected
559,1,635,471,635.0,471.0,False,detected
560,1,621,315,621.0,315.0,False,detected
561,1,621,315,621.0,315.0,False,detected
562,1,624,333,624.0,333.0,False,detected
563,1,621,315,621.0,315.0,False,detected
564,1,617,275,617.0,275.0,False,detected
565,1,617,275,617.0,275.0,False,detected
566,1,617,275,617.0,275.0,False,detected
567,1,617,280,617.0,280.0,False,detected
568,1,614,275,614.0,275.0,False,detected
569,1,614,275,614.0,275.0,False,detected
570,1,614,271,614.0,271.0,False,detected
571,1,614,275,614.0,275.0,False,detected
572,1,614,306,614.0,306.0,False,detected
573,1,614,306,614.0,306.0,False,detected
574,1,614,306,614.0,306.0,False,detected
575,1,614,306,614.0,306.0,False,detected
576,1,614,351,614.0,351.0,False,detected
577,1,614,351,614.0,351.0,False,detected
578,1,614,346,614.0,346.0,False,detected
579,1,614,351,614.0,351.0,False,detected
580,1,614,386,614.0,386.0,False,detected
581,1,614,386,614.0,386.0,False,detected
582,1,614,386,614.0,386.0,False,detected
583,1,614,386,614.0,386.0,False,detected
584,0,0,0,604.1363636363636,386.90909090909093,True,interpolated
585,0,0,0,594.2727272727273,387.8181818181818,True,interpolated
586,0,0,0,584.4090909090909,388.72727272727275,True,interpolated
587,0,0,0,574.5454545454545,389.6363636363636,True,interpolated
588,0,0,0,564.6818181818181,390.54545454545456,True,interpolated
589,0,0,0,554.8181818181819,391.45454545454544,True,interpolated
590,0,0,0,544.9545454545455,392.3636363636364,True,interpolated
591,0,0,0,535.0909090909091,393.27272727272725,True,interpolated
592,0,0,0,,,False,missing
593,0,0,0,,,False,missing
594,0,0,0,,,False,missing
595,0,0,0,,,False,missing
596,0,0,0,,,False,missing
597,0,0,0,,,False,missing
598,0,0,0,,,False,missing
599,0,0,0,,,False,missing
600,0,0,0,,,False,missing
601,0,0,0,,,False,missing
602,0,0,0,,,False,missing
603,0,0,0,,,False,missing
604,0,0,0,,,False,missing
605,0,0,0,,,False,missing
606,0,0,0,,,False,missing
607,0,0,0,,,False,missing
608,0,0,0,,,False,missing
609,0,0,0,,,False,missing
610,0,0,0,,,False,missing
611,0,0,0,,,False,missing
612,0,0,0,,,False,missing
613,0,0,0,,,False,missing
614,0,0,0,,,False,missing
615,0,0,0,,,False,missing
616,0,0,0,,,False,missing
617,0,0,0,,,False,missing
618,0,0,0,,,False,missing
619,0,0,0,,,False,missing
620,0,0,0,,,False,missing
621,0,0,0,,,False,missing
622,0,0,0,,,False,missing
623,0,0,0,,,False,missing
624,0,0,0,,,False,missing
625,0,0,0,,,False,missing
626,0,0,0,,,False,missing
627,1,180,426,180.0,426.0,False,detected
628,1,172,431,172.0,431.0,False,detected
629,1,172,431,172.0,431.0,False,detected
630,1,172,431,172.0,431.0,False,detected
631,1,172,431,172.0,431.0,False,detected
632,1,153,457,153.0,457.0,False,detected
633,1,154,457,154.0,457.0,False,detected
634,1,154,453,154.0,453.0,False,detected
635,1,154,453,154.0,453.0,False,detected
636,0,0,0,155.320987654321,451.24691358024694,True,interpolated
637,0,0,0,156.64197530864197,449.4938271604938,True,interpolated
638,0,0,0,157.96296296296296,447.74074074074076,True,interpolated
639,0,0,0,159.28395061728395,445.98765432098764,True,interpolated
640,0,0,0,160.60493827160494,444.2345679012346,True,interpolated
641,0,0,0,161.92592592592592,442.48148148148147,True,interpolated
642,0,0,0,163.2469135802469,440.7283950617284,True,interpolated
643,0,0,0,164.5679012345679,438.9753086419753,True,interpolated
644,0,0,0,,,False,missing
645,0,0,0,,,False,missing
646,0,0,0,,,False,missing
647,0,0,0,,,False,missing
648,0,0,0,,,False,missing
649,0,0,0,,,False,missing
650,0,0,0,,,False,missing
651,0,0,0,,,False,missing
652,0,0,0,,,False,missing
653,0,0,0,,,False,missing
654,0,0,0,,,False,missing
655,0,0,0,,,False,missing
656,0,0,0,,,False,missing
657,0,0,0,,,False,missing
658,0,0,0,,,False,missing
659,0,0,0,,,False,missing
660,0,0,0,,,False,missing
661,0,0,0,,,False,missing
662,0,0,0,,,False,missing
663,0,0,0,,,False,missing
664,0,0,0,,,False,missing
665,0,0,0,,,False,missing
666,0,0,0,,,False,missing
667,0,0,0,,,False,missing
668,0,0,0,,,False,missing
669,0,0,0,,,False,missing
670,0,0,0,,,False,missing
671,0,0,0,,,False,missing
672,0,0,0,,,False,missing
673,0,0,0,,,False,missing
674,0,0,0,,,False,missing
675,0,0,0,,,False,missing
676,0,0,0,,,False,missing
677,0,0,0,,,False,missing
678,0,0,0,,,False,missing
679,0,0,0,,,False,missing
680,0,0,0,,,False,missing
681,0,0,0,,,False,missing
682,0,0,0,,,False,missing
683,0,0,0,,,False,missing
684,0,0,0,,,False,missing
685,0,0,0,,,False,missing
686,0,0,0,,,False,missing
687,0,0,0,,,False,missing
688,0,0,0,,,False,missing
689,0,0,0,,,False,missing
690,0,0,0,,,False,missing
691,0,0,0,,,False,missing
692,0,0,0,,,False,missing
693,0,0,0,,,False,missing
694,0,0,0,,,False,missing
695,0,0,0,,,False,missing
696,0,0,0,,,False,missing
697,0,0,0,,,False,missing
698,0,0,0,,,False,missing
699,0,0,0,,,False,missing
700,0,0,0,,,False,missing
701,0,0,0,,,False,missing
702,0,0,0,,,False,missing
703,0,0,0,,,False,missing
704,0,0,0,,,False,missing
705,0,0,0,,,False,missing
706,0,0,0,,,False,missing
707,0,0,0,,,False,missing
708,0,0,0,,,False,missing
709,0,0,0,,,False,missing
710,0,0,0,,,False,missing
711,0,0,0,,,False,missing
712,0,0,0,,,False,missing
713,0,0,0,,,False,missing
714,0,0,0,,,False,missing
715,0,0,0,,,False,missing
716,1,261,311,261.0,311.0,False,detected
717,1,261,311,261.0,311.0,False,detected
718,1,261,311,261.0,311.0,False,detected
719,1,261,315,261.0,315.0,False,detected
720,1,251,284,251.0,284.0,False,detected
721,1,251,284,251.0,284.0,False,detected
722,1,250,288,250.0,288.0,False,detected
723,1,251,288,251.0,288.0,False,detected
724,0,0,0,245.23809523809524,288.23809523809524,True,interpolated
725,0,0,0,239.47619047619048,288.4761904761905,True,interpolated
726,0,0,0,233.71428571428572,288.7142857142857,True,interpolated
727,0,0,0,227.95238095238096,288.95238095238096,True,interpolated
728,0,0,0,222.1904761904762,289.1904761904762,True,interpolated
729,0,0,0,216.42857142857142,289.42857142857144,True,interpolated
730,0,0,0,210.66666666666666,289.6666666666667,True,interpolated
731,0,0,0,204.9047619047619,289.9047619047619,True,interpolated
732,0,0,0,,,False,missing
733,0,0,0,,,False,missing
734,0,0,0,,,False,missing
735,0,0,0,,,False,missing
736,0,0,0,,,False,missing
737,0,0,0,,,False,missing
738,0,0,0,,,False,missing
739,0,0,0,,,False,missing
740,0,0,0,,,False,missing
741,0,0,0,,,False,missing
742,0,0,0,,,False,missing
743,0,0,0,,,False,missing
744,1,130,293,130.0,293.0,False,detected
745,1,129,297,129.0,297.0,False,detected
746,1,129,297,129.0,297.0,False,detected
747,1,130,297,130.0,297.0,False,detected
748,1,129,333,129.0,333.0,False,detected
749,1,129,333,129.0,333.0,False,detected
750,1,129,333,129.0,333.0,False,detected
751,1,129,333,129.0,333.0,False,detected
752,1,136,413,136.0,413.0,False,detected
753,1,136,413,136.0,413.0,False,detected
754,1,136,413,136.0,413.0,False,detected
755,1,136,413,136.0,413.0,False,detected
756,0,0,0,136.86153846153846,413.4153846153846,True,interpolated
757,0,0,0,137.72307692307692,413.83076923076925,True,interpolated
758,0,0,0,138.58461538461538,414.24615384615385,True,interpolated
759,0,0,0,139.44615384615383,414.66153846153844,True,interpolated
760,0,0,0,140.30769230769232,415.0769230769231,True,interpolated
761,0,0,0,141.16923076923078,415.4923076923077,True,interpolated
762,0,0,0,142.03076923076924,415.9076923076923,True,interpolated
763,0,0,0,142.8923076923077,416.32307692307694,True,interpolated
